sampcode,Ftot,Fmax,B,T,A,M,C,D,N,E,FluI,FrI,BIX,HIX
14_NA_SS-0000_2017-07-22_Sample_1,NaN,4.06827979743423,0.196348307156618,0.384308990916284,3.59970508468697,2.07092176191181,2.27233875777928,1.168522668342,0.898801234518427,0.254587495246739,1.19357674052738,0.581751912582182,0.584221933965767,0.940230763493531
19_NA_SS-0000_2017-07-22_Sample_1,NaN,1.63057352641963,0.0409974311771253,0.0687432431952869,0.363481415330194,0.249241330124484,0.276802167070334,0.10500641684543,0.124779779757289,0.0209910023679629,1.24189546962238,0.70023097946657,0.715534318817567,0.874150236136677
20_NA_SS-0000_2017-07-22_Sample_1,NaN,1.63057352641963,0.17074556804743,0.236323100517237,1.15848882642718,0.710187706760094,0.749789767133925,0.337190396294316,0.398014557969379,0.0799386297117485,1.2395151243481,0.703540769876697,0.705446592183447,0.864121536510616
31_NA_SS-0000_2017-07-29_Sample_1,NaN,1.63057352641963,0.00404380646115354,0.0152864712436157,0.101656565244866,0.0649520602114731,0.0836779981510011,0.03158755007571,0.0295301167691689,0.00665178856598023,1.25454195970083,0.804709653445594,0.820387215157933,0.795633000926944
32_NA_SS-0000_2017-07-29_Sample_1,NaN,1.63057352641963,0.00811950192545575,0.019419191533402,0.113094514877848,0.0747841517220085,0.0867640738038706,0.0369601544212788,0.0302050471697172,0.00711793989215828,1.18412718414988,0.743032782066162,0.763953065919566,0.81893314517218
7_NA_SS-0000_2017-07-30_Sample_1,NaN,3.62421349221232,0.208761355725817,0.461148299483374,3.22786092090136,1.91093558628097,2.02911607447976,0.979851558093926,0.913969267970767,0.210818409533605,1.23124931544917,0.622927365140502,0.625017354671703,0.915370431873162
57_NA_SS-0000_2017-07-30_Sample_1,NaN,1.98389505573921,0.228273010765793,0.353706386779851,1.78894145429032,1.10384581723134,1.11930698009035,0.534786084648733,0.656238563255303,0.111111397513857,1.27695738991959,0.765272454574405,0.773558559614577,0.888013408280521
1_NA_SS-0000_2017-08-03_Sample_1,NaN,1.63057352641963,0.0264216124564709,0.0804297241679662,0.681401404037832,0.404233723701909,0.485467533659675,0.237609279096997,0.163150073536204,0.0547848797807295,1.21578692197656,0.560370496436065,0.5675297411135,0.928570318305513
45_NA_SS-0000_2017-08-03_Sample_1,NaN,1.63057352641963,0,0.0289529126008151,0.109931717266791,0.058194167434596,0.082841213191838,0.0376341227649724,0.0331080648296584,0.00849641599135626,1.22676886174354,0.91103057564705,0.945649011424442,0.481531445792757
62_NA_SS-0000_2017-08-05_Sample_1,NaN,4.58651458342618,0.192777393365063,0.429474147160478,4.09332747499548,2.32441765348196,2.74451735235934,1.24109616802827,1.0065322774425,0.277777584962326,1.23611837338057,0.57092344464157,0.577288432832079,0.942501686882598
71_NA_SS-0000_2017-08-05_Sample_1,NaN,2.65834373212658,0.100048541283506,0.243129143622931,2.35737714881828,1.41003001205437,1.58294603840371,0.708240216269668,0.592038101749644,0.166599337016408,1.21368534144377,0.57860064565076,0.581838549017293,0.942496754169434
SC Outlet_NA_SS-0000_2017-08-07_Sample_1,NaN,1.63057352641963,0.077940558341432,0.180607782024413,1.13544737646069,0.673181095371575,0.704933047715715,0.339315801251791,0.339096404905602,0.0761222882926446,1.21629989768158,0.651103627321097,0.651380940567215,0.884880911840131
12-1_NA_SS-0000_2017-08-09_Sample_1,NaN,10.7954430851062,0.339755931689425,0.942553838479311,9.63679616940031,5.44240601390326,6.05742561299062,2.67522129459015,2.35618204814711,0.587521361055704,1.21163066373966,0.560884241883204,0.565649473094082,0.941141634125787
40-alt1_NA_SS-0000_2017-08-09_Sample_1,NaN,1.63057352641963,0.0646012655187951,0.10536607201963,1.03182657138858,0.603076650112308,0.72658674661786,0.315138360493005,0.239644628656471,0.0682183142310045,1.22648100572243,0.552781539136766,0.561654263294764,0.931708011276229
SC Outlet_NA_SS-0000_2017-07-10_Sample_1,NaN,1.94401083492293,0.161724843925261,0.287944703161618,1.71576268466915,1.01274846341329,1.04643364230487,0.515623751741459,0.512609753326563,0.114983378642071,1.22180498740994,0.649617154218681,0.650567727819763,0.886148352392709
27_NA_SS-0000_2017-07-12_Sample_1,NaN,1.63057352641963,0.0411997300869857,0.112741868143458,0.99811753488104,0.575113594931299,0.627496065230479,0.298922141470011,0.260152212054477,0.0710922096687977,1.19743432445201,0.594581530120231,0.596543070700121,0.93025228034368
48_NA_SS-0000_2017-07-12_Sample_1,NaN,2.28761101513125,0.24305803555253,0.442402847859902,2.04902152352027,1.24154434463764,1.24154341833426,0.516523759672202,0.8090335176513,0.120577411367157,1.2607416500891,0.774079691098734,0.789228917693046,0.879013080174579
13_NA_SS-0000_2017-07-13_Sample_1,NaN,5.09411147135368,0.149226580515767,0.412820512778489,4.50890307412867,2.3885052520346,2.9463137717311,1.3152406565608,0.992628657567597,0.277969914293239,1.22314383072535,0.518330280929084,0.527441672675633,0.945910342259424
26_NA_SS-0000_2017-07-14_Sample_1,NaN,1.63057352641963,0.016385507831783,0.0446069171684933,0.193427130438274,0.126625725527139,0.138506802939816,0.0550825605976643,0.0631212222432375,0.0100968576251902,1.2385921341842,0.677659461183687,0.688889826661348,0.799843764605427
30_NA_SS-0000_2017-07-14_Sample_1,NaN,1.63057352641963,0.00738839056600301,0.0352216551403262,0.198561169591711,0.122268256113698,0.153889211674083,0.0647864992840788,0.0527589424858809,0.0118559677013933,1.28752841206714,0.835920676667821,0.868227566840519,0.865184860484898
42_NA_SS-0000_2017-07-15_Sample_1,NaN,1.63057352641963,0.0387995492703997,0.0880511745081827,0.291945527468354,0.189774464023828,0.197167848778753,0.0768717905718133,0.117820380329565,0.0207253548588003,1.24243079029265,0.746144477683769,0.762507706995085,0.736788384156857
53_NA_SS-0000_2017-07-15_Sample_1,NaN,1.63057352641963,0.0377829778254008,0.073014176178219,0.520987049422546,0.279449337953113,0.37847146651856,0.164024829910727,0.154540956133766,0.0371246392730119,1.32186827302551,0.813750160382078,0.819740479386203,0.881624431631407
0_NA_SS-0000_2017-07-17_Sample_1,NaN,1.97442704451134,0.260783775380145,0.430300594762749,1.68903368312511,1.12934326896801,1.10577968857085,0.393953904995248,0.793315082518394,0.0930977024559123,1.29673425790464,0.871668559964172,0.915483344323013,0.872170196273482
9-alt_NA_SS-0000_2017-07-17_Sample_1,NaN,3.63677518368504,0.161169899207432,0.411103153507665,3.25118127883488,1.92211977414955,1.99904643863504,1.00460252044965,0.91495586110031,0.195645235309017,1.23191770440151,0.649909572690944,0.649966759287233,0.929059885517902
6_NA_SS-0000_2017-07-17_Sample_1,NaN,4.89395336191494,0.256422196215335,0.717058951430684,4.28541771954974,2.6245728835492,2.59286070081144,1.11885790324603,1.50776869257615,0.21318939627616,1.26590832640682,0.745718838824966,0.759505557309989,0.908117139590598
23_NA_SS-0000_2017-07-20_Sample_1,NaN,1.63057352641963,0.118284915461635,0.198771541190519,1.15910689525354,0.687947965985471,0.690477550138447,0.322050903510072,0.397553995800876,0.0802112354038387,1.26420518507458,0.757955087394442,0.769155538275497,0.895201856439145
37_NA_SS-0000_2017-07-20_Sample_1,NaN,1.63057352641963,0.0426032326790809,0.134590331686532,0.674423905671689,0.394285626419535,0.407290761608628,0.197086071232881,0.210078906367193,0.0487256136332894,1.22487781975489,0.67938068091606,0.681238930684169,0.834909704351734
24_NA_SS-0000_2017-07-20_Sample_1,NaN,1.63057352641963,0.0417911866254614,0.090766970310297,0.821593359600005,0.50058901174755,0.535288598741582,0.24612983423024,0.223630005183968,0.0576618698138578,1.22732030783513,0.62033378509108,0.62239857754565,0.942753725951251
29_NA_SS-0000_2017-07-20_Sample_1,NaN,1.63057352641963,0.0282633747604897,0.0521782026410993,0.456642866179028,0.270611452347287,0.290813042932254,0.137008610022322,0.123583981425618,0.0349313831979835,1.2024315680362,0.621323398565229,0.621700651121171,0.938617318655582
35_NA_SS-0000_2017-07-20_Sample_1,NaN,4.41571346691646,0.251860732711554,0.45404605592357,3.86315662810772,2.29575077956765,2.50161723649925,0.985134149722735,0.927223306504745,0.223597119875656,1.16176362914898,0.531090568007774,0.532834536245523,0.935470879583069
36_NA_SS-0000_2017-07-20_Sample_1,NaN,1.63057352641963,0.0553204207396268,0.0986538954946753,0.605776798713963,0.379373003133611,0.405075997544983,0.172976825224969,0.180409829622626,0.0359225731972617,1.23014337001265,0.658051609809472,0.659415455012583,0.889218205942183
38_NA_SS-0000_2017-07-20_Sample_1,NaN,3.87082395677138,0.453738400029557,0.633842728329962,3.39482006439163,2.02029817990146,2.12322609850374,0.910174906122735,0.977927456294111,0.207171078146924,1.20559608388469,0.60294780692754,0.603673837107424,0.854582155476059
3_NA_SS-0000_2017-07-22_Sample_1,NaN,1.63057352641963,0.0162749493892446,0.0431444585655878,0.22114082357144,0.140722633810383,0.156366115695636,0.0658787128186367,0.0599623002193517,0.0151842113792788,1.26574549871753,0.667024300821688,0.673166027491908,0.896347778139314
8_NA_SS-0000_2017-07-22_Sample_1,NaN,1.63057352641963,0.043991731696982,0.103388883498158,0.828471510090861,0.490213953871099,0.54946120287244,0.265135916465084,0.215908995428667,0.0644829592272376,1.1861163384271,0.576149453410483,0.58298435787324,0.931743277850908
5_NA_SS-0000_2017-07-22_Sample_1,NaN,1.63057352641963,0.16789091152366,0.258060609479537,1.20333034920469,0.733961842407796,0.776796497366574,0.365047204350047,0.381585782828285,0.092519130854358,1.24840795158059,0.680188413471969,0.680188413471969,0.843421799519767
10_NA_SS-0000_2017-07-22_Sample_1,NaN,3.61656448943051,0.288079870171618,0.509423143397764,3.20580816020703,1.91282873722452,2.01647783427083,0.985983177548375,0.950356234462537,0.22565050762143,1.23586108559927,0.647334876593133,0.647614951850125,0.90538090195938
