"","site","date","samptype","SR_d","a254dec_d","atot250450_d","sampcode","streamloc","repnum","dilfac","SR_p","atot250450_p","a254naperian_p","HIX_p","prcntC1_p","prcntC2_p","prcntC3_p","prcntC4_p","prcntC5_p","normC1_p","normC2_p","normC3_p","normC4_p","normC5_p","pkAB_p","pkCB_p","pkTC_p","pkCM_p","normA_p","normB_p","normC_p","normE_p","normD_p","normM_p","normN_p","normT_p","FrI_d","BIX_d","HIX_d","pkAB_d","pkCB_d","pkTC_d","pkCM_d","pkCA_d","prcntC1_d","prcntC2_d","prcntC3_d","normC1_d","normC2_d","normC3_d","normA_d","normB_d","normC_d","normE_d","normD_d","normM_d","normN_d","normT_d"
"46","DC-3","2017-07-27","Sample",NA,NA,NA,"DC-3_NA_SS-0000_2017-07-27_Sample_1",NA,1,1,0.61673750274872,4009.14444710549,46.8195388661965,0.905201305,0.420160010358179,0.17396652840188,0.197048090616198,0.129103464983987,0.0797219056397565,0.65415638884813,0.270852325767047,0.306788519157323,0.201004032653442,0.124120793554192,6.67419065685313,3.98219005697874,0.246235132984331,0.988850562196857,0.871729847167155,0.130612068486844,0.520122080449736,0.12359742620302,0.225762353649877,0.525986534602578,0.253491548160107,0.128072329647628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","DC-4","2017-07-27","Sample",NA,NA,NA,"DC-4_NA_SS-0000_2017-07-27_Sample_1",NA,1,1,0.484932214023759,1444.54807089368,16.2274738754756,0.883472792,0.406290333545498,0.153899151850706,0.180737992147926,0.123260506448136,0.135812016007735,0.687252320210202,0.260325044568001,0.305723750230168,0.208498854273823,0.229730110237261,3.79815073761558,2.28938156461412,0.291313962237781,0.963514647661518,0.890511592347747,0.234459255007556,0.536766696067459,0.116400301642876,0.224063853524007,0.557092408890939,0.268796895958967,0.156367633028694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","SA","2016-07-29","Sample",NA,NA,NA,"SA_IN_SS-0000_2016-07-29_Sample_1","IN",1,1,0.612802633642053,18007.6271044696,212.495336589401,0.905879006,0.421144489268776,0.179774422777215,0.180444337652598,0.135555927821059,0.0830808224803532,0.700641886385849,0.299083791686915,0.300198303295084,0.225519182606985,0.138218368442126,6.18210739484768,3.5135672519407,0.254757829397006,0.954997701350568,0.926060924589961,0.149796964925223,0.526321710401374,0.135464751734074,0.242410771545254,0.551123536378197,0.273806691609917,0.134084576506374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","SA","2016-07-29","Sample",NA,NA,NA,"SA_DN_SS-0000_2016-07-29_Sample_1","DN",1,1,0.48351933183706,743.308483030576,8.49757290064963,0.879565749,0.394004942294895,0.152094378345867,0.186348100512245,0.124035334659054,0.143517244187939,0.670977437746624,0.259011716157089,0.317344676648938,0.211228089056018,0.244405139226923,3.54212571632258,2.15830437932213,0.280153241256631,0.993253525198004,0.8886239244659,0.250873062006524,0.541460428382635,0.1173519594395,0.22558847994007,0.545138189441306,0.265355070029151,0.151691894023599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","SA","2016-07-29","Sample",NA,NA,NA,"SA_UP_SS-0000_2016-07-29_Sample_1","UP",2,0.666666666666667,0.719713293464034,190.713099603685,2.43627891337423,0.908068868,0.291057239850932,0.132530527470978,0.355696962783448,0.133635040718384,0.0870802291762573,0.415929617222531,0.189390140542582,0.508301740418853,0.190968523449141,0.124440286754183,6.47296272230717,4.41996554472698,0.178631397206364,1.09848002524283,0.811419489124198,0.125355192658206,0.554065632401881,0.0921361144767882,0.197832734978117,0.504392997295879,0.173795891090205,0.098973518059976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","SB","2016-07-12","Sample",NA,NA,NA,"SB_IN_SS-0000_2016-07-12_Sample_1","IN",1,1,0.646101810189889,53117.8811491972,719.147993942938,0.861142289,0.609990782504325,0.121358018811401,0.0418101407572824,0.103196183081839,0.123644874845153,0.888240184197908,0.176715898132719,0.0608819808311213,0.150269478323606,0.180045911442616,4.49203735750059,2.75171905326497,0.393456881192356,0.883028787149668,0.802431259513335,0.17863414652451,0.491550984555222,0.0813432256910753,0.16728996391542,0.556664733594814,0.337884458404754,0.193404117330129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","SB","2016-07-12","Sample",NA,NA,NA,"SB_DN_SS-0000_2016-07-12_Sample_1","DN",1,1,0.582553624942036,10049.1116178566,120.914039972752,0.895159297,0.464534037829291,0.16685311925432,0.146896091059012,0.126523332994958,0.0951934188624188,0.756648625596825,0.271775958442724,0.239269281374368,0.20608544954836,0.155054234313355,5.73714870647337,3.24412373006761,0.28979058120056,0.930505153392595,0.909555103088659,0.158537829438234,0.514316334593987,0.120598704677085,0.225798728666529,0.552728088306447,0.295946907640324,0.149044029522933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","SC","2016-07-13","Sample",NA,NA,NA,"SC_DN_SS-0000_2016-07-13_Sample_1","DN",1,1,0.643484114972428,10988.336561862,126.764684178418,0.92432854,0.406819374779047,0.21225129567463,0.188056954128646,0.13960097004901,0.0532714053686664,0.678259682433345,0.353870797030081,0.313533371059216,0.232746313186913,0.0888154515938521,8.80327019738432,4.8683662460034,0.20253258096537,0.951559913915446,0.947683609256959,0.107651314569277,0.524086026186961,0.159668122302839,0.261035967151702,0.550765136827244,0.262016280301271,0.10614449553153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","SC","2016-07-13","Sample",NA,NA,NA,"SC_UP_SS-0000_2016-07-13_Sample_1","UP",1,1,0.644796518021804,790.704675120691,9.44959028285584,0.930499128,0.329342816986301,0.175455296004807,0.294960788929357,0.134960816154419,0.0652802819251157,0.50576889724956,0.269445170807043,0.452968716044189,0.207258150588906,0.100250360713892,7.29250808484366,4.55179178109029,0.159389817362595,1.07487020517487,0.874905982961062,0.119973261980939,0.546093307835429,0.126735910826457,0.225912954164674,0.508055116986505,0.202200337517101,0.0870417125988242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","SC","2016-07-13","Sample",NA,NA,NA,"SC_IN_SS-0000_2016-07-13_Sample_1","IN",1,1,0.731102862589159,76858.4110141062,917.632185741822,0.928109315,0.428492887016767,0.215804345826483,0.165895611806387,0.141644466560085,0.0481626887902775,0.714761732333765,0.359979576655274,0.276727662171585,0.236274737251395,0.0803393659886908,9.19824161068058,4.91624080662495,0.217195039191996,0.919286093758059,0.961129928771673,0.104490615647196,0.51370102855411,0.162986949133263,0.265102283739879,0.558804306996629,0.28067153107311,0.111573315029778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","SC-3B","2017-07-27","Sample",NA,NA,NA,"SC-3B_NA_SS-0000_2017-07-27_Sample_1",NA,1,1,0.651750992693387,1364.94637750332,16.1860468200828,0.887170093,0.435703545070317,0.183272183793219,0.14188010607775,0.127066047992374,0.112078117066341,0.744034125478409,0.312966833839048,0.242283180485268,0.216985785325079,0.191391474226503,4.59785975821787,2.62090242348479,0.312403815102349,0.913781421458001,0.904507283479009,0.196723547703333,0.515593222932192,0.139624542225409,0.241859852398315,0.564241306317574,0.290520180697831,0.161073289884933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","SC-4B","2017-07-25","Sample",NA,NA,NA,"SC-4B_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.505509738394378,442.669967723848,4.90882021093414,0.890946701,0.349657780021502,0.187769400469359,0.203465948962899,0.126857999915152,0.132248870631089,0.619062809369376,0.332442345658708,0.360232802393909,0.224599806741393,0.234144246365044,3.73641505591561,2.28451723467867,0.262760709469397,1.01023170193605,0.908461194541805,0.243137119657919,0.555450940248646,0.155033187353815,0.25873578906165,0.549825291746595,0.248506333173779,0.145950683135178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SC-5B","2017-07-25","Sample",NA,NA,NA,"SC-5B_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.451964237436622,852.734123544703,9.23190648529703,0.90613537,0.344914380621112,0.209166758939665,0.215551090081855,0.133286782789921,0.0970809875674474,0.584692472695441,0.354575617490616,0.365398217450964,0.225945286672947,0.16456989288272,5.2564990998413,3.23660634237641,0.231141191998414,1.03734635209496,0.899024173126857,0.171030976330615,0.553559942734498,0.174998011436165,0.267951439466787,0.53363077974542,0.229848803148943,0.127950505006226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","SC-6B","2017-07-25","Sample",NA,NA,NA,"SC-6B_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.468690036668815,1201.85142047187,13.3915872310191,0.892552519,0.365152110917085,0.183766722301107,0.197269847470407,0.127972511525188,0.125838807786212,0.638305671489795,0.321234185888418,0.344838380197342,0.223702882878497,0.21997305315234,3.91231316710701,2.32281007060996,0.265678494354906,0.986658334227249,0.91582909770453,0.234088903057254,0.543744061439429,0.149603054785456,0.252155848847942,0.551096608194456,0.249634911092221,0.144461103557649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","SC-7B","2017-07-25","Sample",NA,NA,NA,"SC-7B_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.478525789414496,1038.65187743128,11.6846608426653,0.901436984,0.378587886851662,0.175638386623999,0.209243479099038,0.128060374384397,0.108469873040904,0.635164221349329,0.294671918868856,0.351051832586602,0.214849367363514,0.181982004291862,4.67324696051454,2.86091889272275,0.248243203565681,0.99687922255966,0.905548118220774,0.193772793492829,0.554368245799297,0.139182131022558,0.243580671503392,0.55610372174862,0.251906621055466,0.137618149292305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","SC-8B","2017-07-25","Sample",NA,NA,NA,"SC-8B_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.470144653483525,1763.62491345945,19.3548873487354,0.869181776,0.358606686821374,0.161248471207517,0.188356544741955,0.123211541677898,0.168576755551255,0.639217828558268,0.287426033622601,0.335746281230567,0.219625057253585,0.300488729264958,2.9196714334767,1.8062054487303,0.318180723030596,0.990716990595022,0.878714308796476,0.30096342304864,0.543601774578976,0.131278314614845,0.24138309036044,0.548695318379965,0.254929769773293,0.172963605676254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","SC-9","2017-07-25","Sample",NA,NA,NA,"SC-9_NA_SS-0000_2017-07-25_Sample_1",NA,1,1,0.367724450142786,1237.61464909575,13.2379880898123,0.879043112,0.354533137573505,0.187066204908094,0.193640609200321,0.125425574757859,0.139334473560221,0.627366142342522,0.331024073346359,0.342657848082464,0.221947543537076,0.246560115003857,3.66267537709723,2.25676804696062,0.290068289422876,1.00882596553971,0.893701436128039,0.244002360055267,0.550656729555707,0.157088283636981,0.255597030713852,0.545839171834867,0.249688299350635,0.159728055601419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","SD","2016-07-19","Sample",NA,NA,NA,"SD_DN_SS-0000_2016-07-19_Sample_1","DN",2,0.666666666666667,0.64020333521808,2934.99367447433,34.7002210708635,0.912465931,0.364100605020534,0.200987036757149,0.234472308266325,0.134452666074338,0.0659873838816541,0.600564188717741,0.331517209827303,0.386749347979799,0.221772376119282,0.10884260866377,7.62820933889845,4.50241040288028,0.187872296857589,1.01848002881222,0.93148273958888,0.122110274929003,0.549790572138916,0.151757054350066,0.250714066580425,0.539814779461209,0.235055451965224,0.103290417578386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","SD","2016-07-19","Sample",NA,NA,NA,"SD_IN_SS-0000_2016-07-19_Sample_1","IN",3,0.08,0.594507412769197,157123.235292079,1705.75058292079,0.906305563,0.276254607881142,0.277140441070105,0.257636804018115,0.131772765126214,0.0571953819044238,0.471259486855832,0.472770619275567,0.439499594189542,0.224789610393293,0.0975689293783614,10.1052253574385,6.16023633387379,0.176897394653288,1.13509488520894,0.911603913739274,0.090211141413906,0.55572195105817,0.214188905278629,0.295889473756167,0.489581935659835,0.191838928543864,0.0983057652938323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","SD","2016-07-19","Sample",NA,NA,NA,"SD_UP_SS-0000_2016-07-19_Sample_1","UP",2,0.5,0.675845571268024,576.967684641703,7.13688550981871,0.934447808,0.27346233483187,0.20675251555867,0.328770307853262,0.135151434690293,0.055863407065905,0.416835622128601,0.315150580069968,0.50114095564818,0.206009841886772,0.0851519755101059,8.45346527491074,5.37192723208226,0.143758136980171,1.11437779347804,0.862065665201514,0.101977785105483,0.547817240875579,0.15152871783028,0.239235624467964,0.49159023455215,0.167797184599522,0.0787531859538908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","SE","2016-06-17","Sample",NA,NA,NA,"SE_IN_SS-0000_2016-06-17_Sample_1","IN",1,1,0.792117975408278,63878.7316992025,765.795309299515,0.923819574,0.428628845223411,0.205597659818955,0.174963328019876,0.146755636972159,0.044054529965599,0.693001848188813,0.33240776915881,0.282878558067742,0.237272709914853,0.0712268225236609,10.6180480993889,5.92323318361305,0.225326722425383,0.962543949822518,0.928682186270131,0.0874626087184121,0.518061426286263,0.153944997812962,0.263022649054915,0.538221061367418,0.272805669947345,0.116733083200103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","SE","2016-06-17","Sample",NA,NA,NA,"SE_UP_SS-0000_2016-06-17_Sample_1","UP",2,0.166666666666667,0.53581329928914,374.180201770614,4.22874095076591,0.897426156,0.256159642856375,0.185901418453235,0.316818896584003,0.124299848209444,0.116820193896942,0.410316070101838,0.297776568531745,0.507479957150141,0.199103280527878,0.187122383267857,4.47200626890712,2.97006886917886,0.21320124836147,1.11428691118954,0.842044813902576,0.188292404632151,0.559241409300782,0.136687892779443,0.235220463603492,0.501882776944558,0.177726345853033,0.119230966598354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","SE","2016-06-17","Sample",NA,NA,NA,"SE_DN_SS-0000_2016-06-17_Sample_1","DN",1,1,0.613562175654575,1896.9303448967,21.6335451437647,0.926383957,0.352639518725699,0.204586178814184,0.242513547938812,0.138939607544592,0.0613211469767127,0.570488914844653,0.330972965156252,0.392330647735363,0.224772045468652,0.0992033868529237,7.84465934439526,4.78227167304338,0.19428992279762,1.05371007383689,0.90433195127905,0.115279951821638,0.551300048066426,0.158924232400882,0.258288926143996,0.523198991596397,0.224379792612832,0.10711204377715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","SE","2016-08-09","Sample",NA,NA,NA,"SE_DN_SS-0000_2016-08-09_Sample_1","DN",1,1,0.776730256927196,13390.5493658106,160.850932429406,0.918179039,0.398231154339474,0.195318252182713,0.19814695859321,0.139875948013314,0.0684276868712888,0.652240236440235,0.319900694851584,0.324533672753734,0.229094887254186,0.112073829929292,7.2991370716254,4.15658849091775,0.22355206840845,0.982448195857882,0.915103976494049,0.125371529197803,0.521117855352346,0.147145797822643,0.25326264401698,0.530427820570531,0.25834195436287,0.116496974448592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,"53_NA_SS-0000_2017-07-15_Sample_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813750160382078,0.819740479386203,0.881624431631407,13.7889356373678,10.0169835280723,0.192918575473743,1.3543473364108,0.726450814733403,0.380321098236916,0.470387597621563,0.14929130414152,0.778794671694167,0.96322648508574,0.305708183781227,0.319511534427102,0.023171587918739,0.232109414501288,0.0227678412972454,0.100593335567571,0.171381010071174,0.0947770545944671,0.0447782175996329
"71",NA,NA,NA,NA,NA,NA,"7_NA_SS-0000_2017-07-30_Sample_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622927365140502,0.625017354671703,0.915370431873162,15.4619656960878,9.71978778076514,0.227265608549085,1.06184430759845,0.628625620558999,0.499143659235265,0.358993559825117,0.141862780939618,0.81343186469287,0.58503558119655,0.231187363187237,0.89063763154057,0.05760183724673,0.559877633820388,0.0581694235139872,0.270362538023608,0.527269044825084,0.252184169043765,0.127240931163213
"72",NA,NA,NA,NA,NA,NA,"24_NA_SS-0000_2017-07-20_Sample_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62033378509108,0.62239857754565,0.942753725951251,19.6594886611678,12.8086479941073,0.16956641804754,1.06931751632521,0.651524981898818,0.500951195183341,0.343483484303205,0.155565320513454,0.255906484446387,0.17546549799379,0.0794691671706734,0.503867716657977,0.0256297468027862,0.328282404974987,0.0353629375674154,0.150946786662657,0.307001802517136,0.137148065733048,0.0556656715196405
"73",NA,NA,NA,NA,NA,NA,"45_NA_SS-0000_2017-08-03_Sample_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91103057564705,0.945649011424442,0.481531445792757,Inf,Inf,0.349498896566953,1.42353120327639,0.753569718107763,0.514734869711876,0.315480170141197,0.169784960146926,2.4041187681784,1.47348050939139,0.792997003432329,0.0674190494851073,0,0.0508049541155857,0.00521069173127842,0.0230802979167756,0.0356893856619745,0.0203045519218972,0.0177562754035319
"74",NA,NA,NA,NA,NA,NA,"29_NA_SS-0000_2017-07-20_Sample_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621323398565229,0.621700651121171,0.938617318655582,16.1566999712074,10.2893955656984,0.179421810366512,1.07465164688981,0.636850073593923,0.51886347580064,0.360712571667053,0.120423952532307,2.16850627123753,1.50754005678898,0.503292500730686,0.280050460025383,0.0173333948469957,0.178350156077177,0.0214227586993178,0.084024797289063,0.165960901463602,0.0757917256862255,0.0319999078825172
